close,high,low,open,time,volume,symbol
109171.5,109508.5,108978.5,109508.5,2025-05-23 15:05:00,531,BTCUSDT
109051.5,109282.0,108969.0,109200.0,2025-05-23 15:10:00,262,BTCUSDT
109213.0,109283.0,109000.5,109060.5,2025-05-23 15:15:00,209,BTCUSDT
109399.0,109414.0,109170.5,109170.5,2025-05-23 15:20:00,409,BTCUSDT
109339.5,109456.0,109251.5,109400.0,2025-05-23 15:25:00,192,BTCUSDT
109674.0,109706.5,109396.5,109409.0,2025-05-23 15:30:00,413,BTCUSDT
109427.5,109697.0,109422.5,109697.0,2025-05-23 15:35:00,216,BTCUSDT
109446.5,109502.0,109335.0,109452.0,2025-05-23 15:40:00,173,BTCUSDT
109248.5,109464.5,109248.5,109450.0,2025-05-23 15:45:00,179,BTCUSDT
109223.5,109344.0,109187.0,109301.5,2025-05-23 15:50:00,128,BTCUSDT
108870.5,109215.0,108870.5,109215.0,2025-05-23 15:55:00,253,BTCUSDT
108869.0,109174.0,108869.0,108892.5,2025-05-23 16:00:00,682,BTCUSDT
108600.0,108798.5,108518.5,108754.5,2025-05-23 16:05:00,987,BTCUSDT
108594.0,108807.5,108584.5,108637.5,2025-05-23 16:10:00,261,BTCUSDT
108034.5,108610.0,107975.5,108610.0,2025-05-23 16:15:00,1201,BTCUSDT
108486.0,108587.5,108081.0,108081.0,2025-05-23 16:20:00,715,BTCUSDT
108670.0,108846.5,108418.5,108515.0,2025-05-23 16:25:00,362,BTCUSDT
108876.0,108893.5,108695.0,108721.0,2025-05-23 16:30:00,571,BTCUSDT
108788.5,108915.5,108763.0,108876.5,2025-05-23 16:35:00,243,BTCUSDT
108590.0,108824.5,108527.0,108804.5,2025-05-23 16:40:00,387,BTCUSDT
108821.5,108853.5,108595.0,108595.0,2025-05-23 16:45:00,149,BTCUSDT
108784.5,108860.5,108709.5,108812.5,2025-05-23 16:50:00,131,BTCUSDT
109016.5,109058.0,108767.0,108844.0,2025-05-23 16:55:00,346,BTCUSDT
109319.0,109380.5,108985.5,109018.0,2025-05-23 17:00:00,574,BTCUSDT
109217.0,109348.5,109203.0,109293.0,2025-05-23 17:05:00,349,BTCUSDT
109437.5,109437.5,109215.5,109241.5,2025-05-23 17:10:00,309,BTCUSDT
109401.0,109462.0,109347.0,109454.5,2025-05-23 17:15:00,218,BTCUSDT
109759.5,109759.5,109380.0,109407.5,2025-05-23 17:20:00,436,BTCUSDT
109726.0,109755.0,109590.0,109755.0,2025-05-23 17:25:00,294,BTCUSDT
109556.0,109700.0,109538.5,109697.5,2025-05-23 17:30:00,325,BTCUSDT
